danceability,playlist_genre,valence,track_artist,track_popularity,track_album_name,track_id,track_name,track_album_release_date,instrumentalness,acousticness
0.706,latin,0.289,"Clarent, Mora",80,IA,7lcbpfihslisNObKdHjyLo,IA,2024-10-17,0.0,0.656
0.55,latin,0.512,LATIN MAFIA,73,TODOS LOS DÍAS TODO EL DÍA,4Z6pPinNzkGtbgAlE88263,Siento que merezco más,2024-10-24,0.00318,0.262
0.666,latin,0.729,"Tito Double P, Grupo Frontera",85,INCÓMODO,2lAUq68F2bt7Kc218n9FPp,AY MAMÁ,2024-08-22,0.0,0.366
0.459,latin,0.483,"Yami Safdie, Lasso",79,En Otra Vida,0EhmTBq33eARyOz3SIi4P2,En Otra Vida,2024-10-10,0.0,0.929
0.783,latin,0.92,"Clave Especial, Luis R Conriquez",81,No Son Doritos,2ss1LK5Kfnjo5EUaCbsgZM,No Son Doritos,2024-08-23,0.000212,0.539
0.75,latin,0.618,Beéle,79,Frente al Mar,60u6hcpH5Qm1M3xESdNBrB,Frente al Mar,2024-09-26,1.28e-06,0.168
0.734,latin,0.88,"W Sound, Blessd, Ovy On The Drums",82,Soltera (W Sound 01),13BDiikG6y5o5cQTK0HpW6,Soltera - W Sound 01,2024-08-06,0.000242,0.155
0.745,latin,0.929,"Tito Double P, Peso Pluma",88,INCÓMODO,5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,2024-08-22,0.0,0.783
0.747,latin,0.793,"Calle 24, Chuyin",77,NO PIERDO LA VIDA,44zZM2dn9AcOUt5XKUMNJ3,NO PIERDO LA VIDA,2024-09-06,0.0,0.184
0.809,latin,0.9,"Alemán, Gera MX",68,Como Pacman,2TV1EuYnG5XqEyQSd1EB9X,Como Pacman,2024-10-31,0.0011,0.126
0.529,latin,0.659,Julión Álvarez y su Norteño Banda,85,Atento Aviso ... Rey Sin Reina,0BiDnJFB3TlRB6aji7jUz3,Rey Sin Reina,2024-09-05,0.0,0.29
0.763,latin,0.594,"Belinda, Kenia OS",73,JACKPOT,23W44WWCP8SibyP292TWo5,JACKPOT,2024-10-24,1.32e-05,0.0012
0.816,latin,0.94,Emilia,77,noviogangsta <3,7yrTny7FLWLbfIzsxoicWj,noviogangsta <3,2024-10-12,3.7e-06,0.25
0.662,latin,0.79,"Don Omar, Tego Calderón",68,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),4BxzNZpcm1j3JczZzGNe2k,Bandoleros,2006-06-20,0.0,0.318
0.864,latin,0.579,Alemán,69,Eclipse,78M7CiqTpJYoPQKkwjM48Z,Rucón,2018-05-16,0.0,0.0196
0.72,indian,0.512,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",70,"Raataan Lambiyan (From ""Shershaah"")",2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",2021-07-30,0.0,0.615
0.603,indian,0.236,"Jasleen Royal, B Praak, Romy, Anvita Dutt",68,"Ranjha (From ""Shershaah"")",72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",2021-08-05,0.0,0.478
0.483,indian,0.319,"Pritam, Arijit Singh",73,Love Aaj Kal (Original Motion Picture Soundtrack),1smFN2CLqGROu0J0UyvDfL,Shayad,2020-02-14,0.0,0.784
0.562,indian,0.415,"Alka Yagnik, Arijit Singh",70,Tamasha,3hkC9EHFZNQPXrtl8WPHnX,Agar Tum Saath Ho,2015-10-16,0.000268,0.557
0.534,indian,0.293,"Pritam, Arijit Singh",71,Chhichhore,5O932cZmzOZGOGZz9RHx20,Khairiyat,2019-08-31,0.0,0.697
0.526,rock,0.248,Arctic Monkeys,84,Favourite Worst Nightmare,0BxE4FqsDD1Ot4YuBXwAPp,505,2007-04-22,7.78e-05,0.00287
0.562,rock,0.791,Yeah Yeah Yeahs,68,It's Blitz!,2WRFD9WczJ975X2K1Y9YVs,Heads Will Roll,2009-01-01,0.0939,0.000187
0.775,rock,0.518,"Daft Punk, Julian Casablancas",74,Random Access Memories,2cGxRwrMyEAp8dEbuZaVv6,Instant Crush (feat. Julian Casablancas),2013-05-20,0.619,0.0422
0.606,rock,0.603,Jet,72,Get Born,305WCRhhS10XUcH6AEwZk6,Are You Gonna Be My Girl,2003,0.000295,0.00117
0.438,rock,0.421,MGMT,73,Oracular Spectacular,4iG2gAwKXsOcijVaVXzRPW,Time to Pretend,2007-12-14,0.0777,8.74e-05
0.801,rock,0.754,Portugal. The Man,81,Woodstock,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,2017-06-16,0.000113,0.0417
0.578,rock,0.586,Dominic Fike,80,14 minutes,6WTFHKrnZpwEBLRS10Ylqs,misses,2024-05-03,0.734,0.13
0.741,rock,0.934,Hozier,79,Unheard,3HMY0r2BAdpasXMY8rseR0,Too Sweet,2024-03-22,0.000809,0.0295
0.633,rock,0.472,juju<3,78,Wasted Summers,43MifzVnh8W3jJN0xqU9jR,Wasted Summers,2023-07-12,0.00831,0.106
0.565,rock,0.429,d4vd,78,Feel It (From The Original Series “Invincible”),3SAga35lAPYdjj3qyfEsCF,Feel It - From The Original Series “Invincible”,2024-03-28,0.0,0.0288
0.593,rock,0.649,The Strokes,77,The New Abnormal,5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,2020-04-10,0.106,0.0113
